,Year,Trimester,Province,Mbps,date
544,2017,1,Salta,5.0,2017-01-01
545,2017,1,San Juan,3.0,2017-01-01
546,2017,1,San Luis,4.0,2017-01-01
547,2017,1,Santa Cruz,4.0,2017-01-01
548,2017,1,Santa Fe,6.0,2017-01-01
549,2017,1,Santiago del Estero,5.0,2017-01-01
550,2017,1,Tierra del Fuego,3.0,2017-01-01
551,2017,1,Tucumán,6.0,2017-01-01
552,2016,4,Buenos Aires,6.0,2016-10-01
553,2016,4,Ciudad de Buenos Aires,8.0,2016-10-01
554,2016,4,Catamarca,5.0,2016-10-01
555,2016,4,Chaco,7.0,2016-10-01
556,2016,4,Chubut,3.0,2016-10-01
557,2016,4,Córdoba,6.0,2016-10-01
558,2016,4,Corrientes,6.0,2016-10-01
559,2016,4,Entre Ríos,6.0,2016-10-01
560,2016,4,Formosa,6.0,2016-10-01
561,2016,4,Jujuy,4.0,2016-10-01
562,2016,4,La Pampa,3.0,2016-10-01
563,2016,4,La Rioja,5.0,2016-10-01
