,Year,Trimester,Provincia,ADSL,Cablemodem,Optical Fiber,Wireless,Others,Total,date,FB_ADSL_ratio
525,2017,2,Santiago del Estero,28337,3900,19,9110,290,33196,2017-04-01,0.0006705014645163567
526,2017,2,Tierra del Fuego,22636,6905,665,10,235,32557,2017-04-01,0.029377981975614066
527,2017,2,Tucumán,149013,5223,116,140,450,154411,2017-04-01,0.0007784555709904505
528,2017,1,Buenos Aires,1559178,1465817,118839,212,24342,3189376,2017-01-01,0.07621900770790763
529,2017,1,Ciudad de Buenos Aires,428801,918328,38259,273,10928,1399046,2017-01-01,0.08922320610259771
530,2017,1,Catamarca,26020,248,14,10,340,26317,2017-01-01,0.0005380476556495003
531,2017,1,Chaco,54430,34277,252,520,390,89050,2017-01-01,0.004629799742788903
532,2017,1,Chubut,43994,999,916,13194,4793,63896,2017-01-01,0.02082102104832477
533,2017,1,Córdoba,335673,293479,4871,5782,1394,641199,2017-01-01,0.014511146264370384
534,2017,1,Corrientes,54993,31994,236,1354,310,88608,2017-01-01,0.004291455276126052
535,2017,1,Entre Ríos,108509,65095,230,6448,710,180353,2017-01-01,0.002119639845542766
536,2017,1,Formosa,22438,6215,16,1023,130,29705,2017-01-01,0.0007130760317318834
537,2017,1,Jujuy,33869,9278,22,0,340,43203,2017-01-01,0.0006495615459564793
538,2017,1,La Pampa,12754,47195,5194,6253,5170,71913,2017-01-01,0.407244785949506
539,2017,1,La Rioja,16180,0,15,20,280,16225,2017-01-01,0.000927070457354759
540,2017,1,Mendoza,153326,13030,2581,270,1769,170733,2017-01-01,0.016833413771963006
541,2017,1,Misiones,57363,40142,101,50,80,97619,2017-01-01,0.0017607168383801405
542,2017,1,Neuquén,51771,48109,1124,11665,267,115339,2017-01-01,0.021710996503834193
543,2017,1,Río Negro,67075,28785,954,3213,1261,101288,2017-01-01,0.014222884830413717
544,2017,1,Salta,79837,26845,114,1580,6790,107633,2017-01-01,0.0014279093653318637
545,2017,1,San Juan,48670,451,772,1073,9070,51873,2017-01-01,0.015861927265255805
546,2017,1,San Luis,11432,1120,354,260,3750,13307,2017-01-01,0.030965710286913927
547,2017,1,Santa Cruz,15502,2722,1272,4733,2257,26486,2017-01-01,0.08205392852535157
548,2017,1,Santa Fe,327458,226094,3210,4948,1172,562882,2017-01-01,0.009802783868465574
549,2017,1,Santiago del Estero,29616,3900,19,9110,290,34475,2017-01-01,0.0006415451107509454
550,2017,1,Tierra del Fuego,22636,6905,665,10,235,32557,2017-01-01,0.029377981975614066
551,2017,1,Tucumán,147373,5223,116,140,450,152771,2017-01-01,0.0007871184002497065
552,2016,4,Buenos Aires,1563542,1414676,118747,21394,24342,3142701,2016-10-01,0.07594743217643019
553,2016,4,Ciudad de Buenos Aires,434835,914952,38161,2583,10928,1401459,2016-10-01,0.08775972495314315
554,2016,4,Catamarca,26735,250,14,10,340,27034,2016-10-01,0.0005236581260519917
555,2016,4,Chaco,54974,33534,248,520,390,88847,2016-10-01,0.004511223487466802
556,2016,4,Chubut,43994,955,916,13107,4793,63765,2016-10-01,0.02082102104832477
557,2016,4,Córdoba,337368,289344,3368,5686,7890,636555,2016-10-01,0.009983163785539826
558,2016,4,Corrientes,54981,31497,233,1354,310,88096,2016-10-01,0.0042378276131754605
559,2016,4,Entre Ríos,109359,64141,226,6448,710,180245,2016-10-01,0.0020665880265913184
560,2016,4,Formosa,22400,6061,16,1023,130,29513,2016-10-01,0.0007142857142857143
561,2016,4,Jujuy,33838,8731,22,0,340,42625,2016-10-01,0.0006501566286423548
562,2016,4,La Pampa,12754,47245,5054,6253,5220,71828,2016-10-01,0.39626783754116357
563,2016,4,La Rioja,16270,0,16,20,280,16316,2016-10-01,0.0009834050399508297
564,2016,4,Mendoza,153320,13030,2579,270,1769,170725,2016-10-01,0.01682102791547091
565,2016,4,Misiones,57983,39294,100,50,80,97390,2016-10-01,0.0017246434299708535
566,2016,4,Neuquén,51742,46389,1124,1191,267,113835,2016-10-01,0.021723164933709557
567,2016,4,Río Negro,67057,28474,954,3274,1261,101020,2016-10-01,0.014226702655949415
568,2016,4,Salta,79389,26657,110,1580,6210,106935,2016-10-01,0.0013855823854690196
569,2016,4,San Juan,48670,451,772,1121,9070,51921,2016-10-01,0.015861927265255805
570,2016,4,San Luis,11432,1120,354,260,3750,13307,2016-10-01,0.030965710286913927
571,2016,4,Santa Cruz,15607,2722,1055,4823,2257,26464,2016-10-01,0.06759787274940732
572,2016,4,Santa Fe,326721,225792,3201,4946,1172,561832,2016-10-01,0.00979735003259662
573,2016,4,Santiago del Estero,30192,3900,19,9110,290,35051,2016-10-01,0.0006293057763645999
